Location,Job_Listing
Riverside County,VOCATIONAL INSTRUCTOR (AUTO BODY AND FENDER REPAIR) (CORRECTIONAL FACILITY)
Kern County,VOCATIONAL INSTRUCTOR (COMPUTER AND RELATED TECHNOLOGIES) (CORRECTIONAL FACILITY)
Riverside County,VOCATIONAL INSTRUCTOR (ELECTRICAL WORK) (CORRECTIONAL FACILITY)
Riverside County,"VOCATIONAL INSTRUCTOR, PLUMBING (CORRECTIONAL FACILITY)"
Los Angeles County,BUILDING MAINTENANCE WORKER
Alameda County,DEPUTY ATTORNEY GENERAL SUPERVISOR
Solano County,FERRYBOAT MASTER
Los Angeles County,HAZARDOUS SUBSTANCES ENGINEER
United States,HEALTH PROGRAM MANAGER III
Lake County,JUNIOR ENGINEERING TECHNICIAN
Monterey County,"OPTOMETRIST, CORRECTIONAL FACILITY"
Napa County,PHARMACY TECHNICIAN
San Bernardino County,"PHYSICIAN AND SURGEON, CORRECTIONAL FACILITY (INTERNAL MED/FAMILY PRACTICE)"
Sacramento County,"PHYSICIAN AND SURGEON, CORRECTIONAL FACILITY (INTERNAL MED/FAMILY PRACTICE)"
Orange County,"PROGRAM REPRESENTATIVE II (SPECIALIST), DEPARTMENT OF CONSUMER AFFAIRS"
Sacramento County,"PSYCHOLOGIST (HEALTH FACILITY - CLINICAL), DEPARTMENTS OF MENTAL HEALTH AND DEVELOPMENTAL SERVICES"
Contra Costa County,RESEARCH SCIENTIST IV (EPIDEMIOLOGY/BIOSTATISTICS)
San Francisco County,SENIOR LEGAL TYPIST
United States,SENIOR PARK AND RECREATION SPECIALIST
Riverside County,SENIOR PSYCHIATRIC TECHNICIAN
Fresno County,"SENIOR RADIOLOGIC TECHNOLOGIST, CORRECTIONAL FACILITY (SPECIALIST)"
San Diego County,SUPERVISING PROGRAM TECHNICIAN II
Madera County,"SUPERVISING PSYCHIATRIC SOCIAL WORKER I, CORRECTIONAL FACILTY"
Sacramento County,SUPERVISING VETERINARIAN (GENERAL)
San Joaquin County,TRANSPORTATION ENGINEER (CIVIL)
Tuolumne County,VOCATIONAL INSTRUCTOR (CARPENTRY) (CORRECTIONAL FACILITY)
Kings County,AUTOMOBILE MECHANIC (CORRECTIONAL FACILITIES)
Los Angeles County,"CHIEF, RESTORATIVE CARE SERVICE"
Butte County,COOK SPECIALIST II
Sacramento County,DEPUTY ATTORNEY GENERAL
San Diego County,DEPUTY ATTORNEY GENERAL
Los Angeles County,DEPUTY ATTORNEY GENERAL
Alameda County,DEPUTY ATTORNEY GENERAL III
Solano County,DRAWBRIDGE OPERATOR
Fresno County,GRADUATE STUDENT ASSISTANT
Mendocino County,JUNIOR ENGINEERING TECHNICIAN
Fresno County,PHYSICIAN AND SURGEON (SAFETY)
Los Angeles County,"REHABILITATION THERAPIST, STATE FACILITIES (RECREATION)"
San Luis Obispo County,SENIOR MAINTENANCE AIDE (SEASONAL)
Solano County,"SENIOR VOCATIONAL REHABILITATION COUNSELOR, QUALIFIED REHABILITIATION PROFESSIONAL"
Los Angeles County,STOCK CLERK
Sacramento County,SUPERVISING PSYCHIATRIC SOCIAL WORKER I
Sacramento County,TELECOMMUNICATIONS SYSTEMS TECHNICIAN II
Napa County,TRACTOR OPERATOR-LABORER
Inyo County,TRANSPORTATION ENGINEER (CIVIL)
Mono County,BRAND INSPECTOR
Merced County,BRAND INSPECTOR
Fresno County,CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY)
Los Angeles County,DEPUTY LABOR COMMISSIONER I
Orange County,DEPUTY LABOR COMMISSIONER I
Sacramento County,"FIELD REPRESENTATIVE, BOARD OF CORRECTIONS"
United States,HOSPITAL POLICE OFFICER
San Bernardino County,MECHANICAL AND TECHNICAL OCCUPATIONAL TRAINEE
Santa Clara County,OFFICE TECHNICIAN (TYPING)
Monterey County,SENIOR LEGAL TYPIST
Yolo County,"SENIOR TRANSPORTATION ENGINEER, CALTRANS"
San Bernardino County,TELECOMMUNICATIONS SYSTEMS TECHNICIAN II
Monterey County,TRANSPORTATION ENGINEER (ELECTRICAL)
Sacramento County,WELFARE FRAUD PREVENTION COORDINATOR
San Bernardino County,ELECTRICIAN I
Inyo County,EQUIPMENT MATERIEL MANAGER I
Inyo County,FISH AND WILDLIFE SCIENTIFIC AID
Los Angeles County,FOOD SERVICE SUPERVISOR II
Sonoma County,INVESTIGATOR
San Bernardino County,LEAD GROUNDSKEEPER
Shasta County,MAINTENANCE MECHANIC
San Bernardino County,PAINTER I
Kern County,PERSONNEL SUPERVISOR I
San Bernardino County,REGISTERED  DIETITIAN (SAFETY)
Orange County,RESEARCH DATA SPECIALIST II
Sacramento County,SENIOR STATE ARCHEOLOGIST
San Luis Obispo County,SENIOR TRANSPORTATION PLANNER
Fresno County,"SPEECH PATHOLOGIST I, DEPARTMENTS OF MENTAL HEALTH AND DEVELOPMENTAL SERVICES"
Alameda County,STAFF SERVICES MANAGER I
Riverside County,STATIONARY ENGINEER
Los Angeles County,AGRICULTURAL TECHNICIAN II (SEASONAL)
Sacramento County,ASSOCIATE TOXICOLOGIST
Orange County,ATTORNEY IV
United States,ENVIRONMENTAL PROGRAM MANAGER I (SUPERVISORY)
Kings County,LIBRARIAN (CORRECTIONAL FACILITY)
Kings County,LIBRARY TECHNICAL ASSISTANT (SAFETY)
Kings County,TEACHING ASSISTANT (CORRECTIONAL FACILITY)
Santa Barbara County,ASSOCIATE SAFETY ENGINEER
Riverside County,ASSOCIATE SAFETY ENGINEER
United States,CHILD NUTRITION SUPERVISOR I
Shasta County,COOK SPECIALIST I
Riverside County,"DISTRICT MANAGER, DIVISION OF OCCUPATIONAL SAFETY AND HEALTH"
United States,SENIOR TOXICOLOGIST
Mendocino County,"SENIOR VOCATIONAL REHABILITATION COUNSELOR, QUALIFIED REHABILITIATION PROFESSIONAL"
Fresno County,STAFF PSYCHIATRIST                                     (MAND)
Merced County,STATE PARK INTERPRETER I
San Joaquin County,"ADMINISTRATIVE OFFICER II, RESOURCES AGENCY"
Sacramento County,AGRICULTURE PROGRAM SUPERVISOR IV
Fresno County,"DISTRICT MANAGER, DIVISION OF OCCUPATIONAL SAFETY AND HEALTH"
Santa Barbara County,"DISTRICT MANAGER, DIVISION OF OCCUPATIONAL SAFETY AND HEALTH"
Del Norte County,"DISTRICT SUPERINTENDENT I, DEPARTMENT OF PARKS AND RECREATION SERIES"
San Luis Obispo County,GROUNDSKEEPER
San Luis Obispo County,LABORATORY TECHNICIAN CHEMICAL ANALYSIS
Riverside County,PLANT QUARANTINE INSPECTOR
San Diego County,STAFF SERVICES MANAGER II (MANAGERIAL)
Alameda County,STAFF SERVICES MANAGER II (SUPERVISORY)
Sacramento County,"SUPERVISING PSYCHIATRIC SOCIAL WORKER II, CORRECTIONAL FACLTY"
Solano County,C. E. A.
Los Angeles County,ENGINEERING GEOLOGIST
Sacramento County,"SUPERVISING REGISTERED NURSE III, CORRECTIONAL FACILITY"
Riverside County,SUPERVISING SPECIAL INVESTIGATOR I 
Riverside County,SUPERVISING SPECIAL INVESTIGATOR II 
Napa County,COMMUNICATIONS OPERATOR
Santa Clara County,AGRICULTURAL TECHNICIAN I (SEASONAL)
San Diego County,AGRICULTURAL TECHNICIAN I (SEASONAL)
Fresno County,FOOD SERVICE TECHNICIAN I
Napa County,LICENSED VOCATIONAL NURSE                              (MAND)
San Bernardino County,MAINTENANCE MECHANIC
Orange County,SENIOR PSYCHIATRIC TECHNICIAN
Napa County,ELECTRICIAN I
San Francisco County,ENGINEERING GEOLOGIST
Imperial County,PHARMACIST II
Napa County,SENIOR PSYCHOLOGIST (HEALTH FACILITY) (SPECIALIST)
United States,"AGENT, ALCOHOLIC BEVERAGE CONT"
Tulare County,COOK SPECIALIST I
Alameda County,HAZARDOUS SUBSTANCES ENGINEER
Kern County,LIBRARY TECHNICAL ASSISTANT (SAFETY)
Kern County,MECHANICAL AND TECHNICAL OCCUPATIONAL TRAINEE
Los Angeles County,"MEDICAL CONSULTANT (ENFORCEMENT), MEDICAL BOARD OF CALIFORNIA"
San Diego County,SECURITY GUARD
Riverside County,CARPENTER II
Humboldt County,CONSERVATIONIST I
Santa Clara County,COOK SPECIALIST I
Santa Clara County,COOK SPECIALIST II
Imperial County,"DISTRICT SALES REPRESENTATIVE, CA STATE LOTTERY"
Napa County,FOOD SERVICE TECHNICIAN I
Fresno County,FOOD SERVICE TECHNICIAN II
Los Angeles County,HEARING REPORTER
San Diego County,LICENSED VOCATIONAL NURSE                              (MAND)
Alameda County,"NIGHT ATTENDANT, SCHOOL FOR THE BLIND"
Riverside County,PHARMACY TECHNICIAN
Alameda County,RESEARCH SCIENTIST MANAGER (CHEMICAL SCIENCES)
Alameda County,SECURITY GUARD
San Luis Obispo County,ENVIRONMENTAL SCIENTIST
San Bernardino County,JEWISH CHAPLAIN
Napa County,MEDICAL ASSISTANT
Sacramento County,NURSE CONSULTANT III (SPECIALIST)
Sacramento County,"OPTOMETRIST, CORRECTIONAL FACILITY"
Del Norte County,"PHYSICIAN AND SURGEON, CORRECTIONAL FACILITY (INTERNAL MED/FAMILY PRACTICE)"
Fresno County,"PHYSICIAN AND SURGEON, CORRECTIONAL FACILITY (INTERNAL MED/FAMILY PRACTICE)"
Marin County,"PHYSICIAN AND SURGEON, CORRECTIONAL FACILITY (INTERNAL MED/FAMILY PRACTICE)"
Del Norte County,"PHYSICIAN ASSISTANT, CORRECTIONAL FACILITY"
Imperial County,"PHYSICIAN ASSISTANT, CORRECTIONAL FACILITY"
Sacramento County,SENIOR LEGAL TYPIST
San Diego County,SENIOR MAINTENANCE AIDE (SEASONAL)
Sacramento County,"INVESTMENT OFFICER II, PUBLIC EMPLOYEES' RETIREMENT SYSTEM"
Los Angeles County,LABORATORY ASSISTANT
Marin County,"OPTOMETRIST, CORRECTIONAL FACILITY"
Napa County,STAFF SERVICES MANAGER I
Sacramento County,FOUNDATION DRILLER
Los Angeles County,"INVESTIGATIVE AUDITOR III, DEPARTMENT OF JUSTICE"
Sacramento County,PRIVATE POSTSECONDARY EDUCATION SPECIALIST
Sacramento County,PSYCHIATRIC TECHNICIAN (SAFETY)
Ventura County,SENIOR DELINEATOR
Ventura County,AGRICULTURAL TECHNICIAN II (SEASONAL)
Inyo County,CALTRANS ELECTRICIAN II
Santa Clara County,FOOD SERVICE TECHNICIAN I
Shasta County,GRADUATE STUDENT ASSISTANT
Contra Costa County,MAINTENANCE AIDE (SEASONAL)
United States,NUTRITION EDUCATION CONSULTANT
Los Angeles County,BUSINESS TAXES COMPLIANCE SPECIALIST
Riverside County,BUSINESS TAXES COMPLIANCE SPECIALIST
Los Angeles County,LEAD GROUNDSKEEPER
San Diego County,"PHYSICIAN AND SURGEON, CORRECTIONAL FACILITY (INTERNAL MED/FAMILY PRACTICE)"
San Diego County,SENIOR LEGAL ANALYST
San Francisco County,SENIOR LEGAL ANALYST
Sacramento County,"SENIOR PSYCHOLOGIST, CORRECTIONAL FACILITY (SPECIALIST)"
Contra Costa County,INVESTIGATOR
Tehama County,"WATER AND SEWAGE PLANT OPERATOR, DEPARTMENT FORESTRY  AND FIRE PROTECTION (SAFETY)"
Los Angeles County,LABORER
Los Angeles County,"PROGRAM REPRESENTATIVE I, DEPARTMENT OF CONSUMER AFFAIRS"
Sacramento County,"PROJECT MANAGER I, LITTLE HOOVER COMMISSION"
Los Angeles County,STATIONARY ENGINEER
Siskiyou County,AGRICULTURAL TECHNICIAN I (SEASONAL)
Imperial County,AGRICULTURAL TECHNICIAN I (SEASONAL)
Modoc County,AGRICULTURAL TECHNICIAN I (SEASONAL)
San Bernardino County,AGRICULTURAL TECHNICIAN I (SEASONAL)
Nevada County,AGRICULTURAL TECHNICIAN I (SEASONAL)
Mono County,AGRICULTURAL TECHNICIAN I (SEASONAL)
Lassen County,AGRICULTURAL TECHNICIAN I (SEASONAL)
El Dorado County,AGRICULTURAL TECHNICIAN I (SEASONAL)
Del Norte County,AGRICULTURAL TECHNICIAN I (SEASONAL)
Santa Clara County,"DISTRICT SUPERINTENDENT II, DEPARTMENT OF PARKS AND RECREATION SERIES"
Sacramento County,VETERINARIAN (GENERAL)
